Opportunity Name,SFDC URL,Account Name,Stage (Raw),Stage Bucket,ACV / Amount ($),Close Date,Created Date,Last Activity Date,Owner,Employees,Employee Bucket,EHR (Raw),EHR (Normalized),Providers (Opp Field),# Related Opps (Account),Opportunity ID,Account ID
ARCHealth - RCM,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000M8eOdIAJ/view,Arc Health Partners,4. Proposal/Price Quote,Early / Mid Pipeline,2000000.0,2026-07-31,2025-03-11,2026-03-10,Jason Absten,,Unknown,advancedmd,AdvancedMD,,3,006Vo00000M8eOdIAJ,001Vo000004iZUPIA2
Advantage Dermatology,https://athelas.lightning.force.com/lightning/r/Opportunity/0067V00002COj9WQAT/view,Advantage Dermatology,Active Evaluation,Early / Mid Pipeline,120000.0,2023-11-27,2023-10-24,2024-03-29,Amanda Rousso,,Unknown,ModMed,Modernizing Medicine,,1,0067V00002COj9WQAT,0017V00001cfmqtQAA
Allied Customer Solutions,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000vF0aAIAS/view,Allied Customer Solutions,IQM Set,Early / Mid Pipeline,,2026-01-30,2025-10-25,,Kyle Morris,,Unknown,N/A,Unknown,,1,006Vo00000vF0aAIAS,001Vo000010YIIEIA4
Ankle and Foot Centers of America,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000ozA5qIAE/view,Ankle and Foot Centers of America,FHA,Early / Mid Pipeline,314585.15,2026-05-12,2025-09-25,2026-04-01,Ramneek Kakar,9,0-300,Epic Systems Corporation,Epic,,1,006Vo00000ozA5qIAE,001Vo000002dcPVIAY
Arc Health Partners - Call agents,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo000014HPyTIAW/view,Arc Health Partners,3. Scoping,Early / Mid Pipeline,,2026-07-31,2025-12-12,2026-03-19,Jason Absten,,Unknown,,Unknown,,3,006Vo000014HPyTIAW,001Vo000004iZUPIA2
Atlanta Heart Associates,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00001ENzrsIAD/view,Atlanta Heart Associates PC,IQM Set,Early / Mid Pipeline,,2026-04-30,2026-02-09,2026-02-13,Ernest Chan,135,0-300,GEMMS,Other,25.0,2,006Vo00001ENzrsIAD,0015e00000G2uHKAAZ
Atlantic Health System Enterprise,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00001N8YDNIA3/view,Atlantic Health System,1. Qualifying,Early / Mid Pipeline,,2026-07-31,2026-03-30,,Jean-Luc Neptune,5000,"1,001-5,000",,Unknown,,3,006Vo00001N8YDNIA3,0015e00000CA0hdAAD
Brooks Rehab - meditech ambient + intake + call center + RCM,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000VZbuBIAT/view,Brooks Rehabilitation Hospital - University Campus,3. Scoping,Early / Mid Pipeline,150000.0,2026-12-31,2025-05-28,2026-02-27,Daniel Carter,5000,"1,001-5,000",MEDITECH,MEDITECH,,4,006Vo00000VZbuBIAT,001Vo000008xAqcIAE
Calvary Pediatrics - Scribe,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo000019ZW2XIAW/view,Calvary Pediatrics,Pilot,Early / Mid Pipeline,10400.0,2026-04-30,2026-01-14,2026-01-20,Ryan Laliberte,17,0-300,eClinicalWorks,eClinicalWorks,4.0,3,006Vo000019ZW2XIAW,0017V00001tScwjQAC
Catholic Health Buffalo - Platform - New Business,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000bAz06IAC/view,Catholic Health System,2. Needs Analysis,Early / Mid Pipeline,250000.0,2026-12-31,2025-07-02,2026-02-27,Jean-Luc Neptune,5000,"1,001-5,000",Epic,Epic,,1,006Vo00000bAz06IAC,001Vo00000OuO1cIAF
